run_index,penalty_r,algorithm,start_x,start_y,start_z,step,x,y,z,penalty_value,feasible
5,1,Penalty Nelder-Mead,1,1,1,103,0.423222,0.417194,0.416488,-0.0707096,0
5,1,Penalty Nelder-Mead,1,1,1,104,0.423222,0.417194,0.416488,-0.0707096,0
5,1,Penalty Nelder-Mead,1,1,1,105,0.423222,0.417194,0.416488,-0.0707096,0
5,1,Penalty Nelder-Mead,1,1,1,106,0.423222,0.417194,0.416488,-0.0707096,0
5,1,Penalty Nelder-Mead,1,1,1,107,0.416635,0.420941,0.41958,-0.0707106,0
5,1,Penalty Nelder-Mead,1,1,1,108,0.416268,0.420369,0.419746,-0.0707121,0
5,1,Penalty Nelder-Mead,1,1,1,109,0.416268,0.420369,0.419746,-0.0707121,0
5,1,Penalty Nelder-Mead,1,1,1,110,0.419947,0.41863,0.418269,-0.0707124,0
5,1,Penalty Nelder-Mead,1,1,1,111,0.418919,0.417653,0.419646,-0.0707128,0
5,1,Penalty Nelder-Mead,1,1,1,112,0.418919,0.417653,0.419646,-0.0707128,0
5,1,Penalty Nelder-Mead,1,1,1,113,0.417885,0.419378,0.419128,-0.070713,0
5,1,Penalty Nelder-Mead,1,1,1,114,0.419381,0.418633,0.418533,-0.070713,0
5,1,Penalty Nelder-Mead,1,1,1,115,0.419184,0.418716,0.41836,-0.0707131,0
5,1,Penalty Nelder-Mead,1,1,1,116,0.418868,0.418281,0.41916,-0.0707131,0
5,1,Penalty Nelder-Mead,1,1,1,117,0.418515,0.418961,0.418906,-0.0707131,0
5,1,Penalty Nelder-Mead,1,1,1,118,0.418515,0.418961,0.418906,-0.0707131,0
5,1,Penalty Nelder-Mead,1,1,1,119,0.418515,0.418961,0.418906,-0.0707131,0
5,1,Penalty Nelder-Mead,1,1,1,120,0.418515,0.418961,0.418906,-0.0707131,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,0,0.418515,0.418961,0.418906,-0.0460672,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,1,0.418515,0.418961,0.418906,-0.0460672,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,2,0.418515,0.418961,0.418906,-0.0460672,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,3,0.368515,0.502294,0.35224,-0.0625346,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,4,0.368515,0.502294,0.35224,-0.0625346,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,5,0.368515,0.502294,0.35224,-0.0625346,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,6,0.369441,0.452603,0.396993,-0.0647196,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,7,0.369441,0.452603,0.396993,-0.0647196,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,8,0.375794,0.460276,0.40266,-0.0659456,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,9,0.382922,0.458023,0.394208,-0.0672378,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,10,0.382922,0.458023,0.394208,-0.0672378,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,11,0.375105,0.447958,0.405252,-0.0679952,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,12,0.375105,0.447958,0.405252,-0.0679952,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,13,0.375105,0.447958,0.405252,-0.0679952,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,14,0.375105,0.447958,0.405252,-0.0679952,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,15,0.375105,0.447958,0.405252,-0.0679952,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,16,0.375105,0.447958,0.405252,-0.0679952,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,17,0.375105,0.447958,0.405252,-0.0679952,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,18,0.375105,0.447958,0.405252,-0.0679952,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,19,0.375105,0.447958,0.405252,-0.0679952,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,20,0.375105,0.447958,0.405252,-0.0679952,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,21,0.373519,0.443202,0.412187,-0.0680441,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,22,0.376771,0.441983,0.411506,-0.0680509,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,23,0.375505,0.43568,0.416629,-0.0680628,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,24,0.375425,0.43262,0.42163,-0.0680922,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,25,0.378281,0.43032,0.420989,-0.0681213,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,26,0.378281,0.43032,0.420989,-0.0681213,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,27,0.378281,0.43032,0.420989,-0.0681213,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,28,0.378281,0.43032,0.420989,-0.0681213,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,29,0.378331,0.427623,0.422049,-0.0681306,0
6,0.1,Penalty Nelder-Mead,0.418515,0.418961,0.418906,30,0.380836,0.421114,0.427319,-0.0681559,0
